colour,description,image_urls,product_name
Black ,"The <span >Unisex Track Zip Sweater is back this season in a Black hue. This sweatshirt is a sporty style with a relaxed shape, zip neckline, and binding detail on the cuffs and hem. Wear yours to workouts, running errands, or lounging at home with the matching track pants.Zip neck cotton sweaterRelaxed fitTailored high neck with metal zipInternal contrast grey marl yokeRibbed cuffs and hemlineHip lengthCut for an oversized fit, please size down for a smaller fit100% CottonCold machine wash on a delicate cycle",https://cdn.shopify.com/s/files/1/2129/8823/products/Venroy-Unisex-Track-Zip-Sweater-Black-1-0189.jpg?v=1652073085,Unisex Track Zip Sweater
Bright Pink ,"The Mohair V Neck Sweater in Bright Pink is made from fluffy mohair that feels light but offers all the warmth you need to see you through cold days. Cut for a relaxed fit, it has a thick V neckline, dropped shoulders and ribbing detail on the cuffs and hem.Mohair V neck sweaterRelaxed fitThick ribbed V necklineSlight dropped shouldersWide ribbed detail on cuffs and hemMid-weight48% Wool 20% Mohair 28% Nylon 4% EAGentle dry clean only",https://cdn.shopify.com/s/files/1/2129/8823/products/Venroy-Mohair-V-Neck-Sweater-Bright-Pink-2445.jpg?v=1656384317,Mohair V Neck Sweater
Merlot/Taupe ,"The Unisex Track Zip Sweater is back this season in a two-toned Merlot and Taupe colorway. This sweatshirt is a sporty style with a relaxed shape, zip neckline, and binding detail on the cuffs and hem. Wear yours to workouts, running errands, or lounging at home with the matching track pants.Zip neck cotton sweaterTwo-toned colourwayRelaxed fitTailored high neck with metal zipRibbed cuffs and hemlineHip lengthCut for an oversized fit, please size down for a smaller fit100% CottonCold machine wash on a delicate cycle",https://cdn.shopify.com/s/files/1/2129/8823/products/Venroy-Unisex-Track-Zip-Sweater-Merlot-Taupe-0907.jpg?v=1652769955,Unisex Track Zip Sweater
Juniper Green ,"The Unisex Track Zip Sweater is back this season in a Juniper Green hue. This sweatshirt is a sporty style with a relaxed shape, zip neckline, and binding detail on the cuffs and hem. Wear yours to workouts, running errands, or lounging at home with the matching track pants.Zip neck cotton sweaterRelaxed fitTailored high neck with metal zipInternal contrast bone yokeRibbed cuffs and hemlineHip lengthCut for an oversized fit, please size down for a smaller fit100% CottonCold machine wash on a delicate cycle",https://cdn.shopify.com/s/files/1/2129/8823/products/Venroy-Track-Pant-Juniper-Green-1239.jpg?v=1652774460,Unisex Track Zip Sweater
Red ,"The Unisex Track Zip Sweater is back this season in a Red hue. This sweatshirt is a sporty style with a relaxed shape, zip neckline, and binding detail on the cuffs and hem. Wear yours to workouts, running errands, or lounging at home with the matching track pants.Zip neck cotton sweaterRelaxed fitTailored high neck with metal zipInternal contrast bone yokeRibbed cuffs and hemlineHip lengthCut for an oversized fit, please size down for a smaller fit100% CottonCold machine wash on a delicate cycle",https://cdn.shopify.com/s/files/1/2129/8823/products/Venroy-Unisex-Track-Zip-Sweater-Red-0725_0ea8d326-b20c-4a1c-9462-4b28af878dc6.jpg?v=1652073092,Unisex Track Zip Sweater
Latte ,"The Rib Knitted Skirt in Latte is an everyday basic you'll wear again and again on warmer days. Knitted from linen that slightly heavy which allows it to flow over the body, it has an elasticated waistband and slim fit. Style yours with the matching crop tank and sandals.Midi length rib linen knitted skirtElasticated waistbandSlim fitStraightens at hem100% LinenCold machine wash on a delicate cycle",https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_Rib-Knitted-Skirt-Latte-_1780.jpg?v=1646188319,Rib Knitted Skirt
Camel ,"The Alpaca Cardigan in Camel is designed for an oversized fit, so it will keep you warm and cosy on chilly days. Knitted from fluffy alpaca, this cardigan has a V neckline, rib details, and a button up front.Fluffy alpaca cardiganRelaxed fitDropped shouldersRibbed detail on V neckline, front, cuffs, and hemButton up front70% Alpaca 27% Nylon 3% ElastaneGentle dry clean only",https://cdn.shopify.com/s/files/1/2129/8823/products/Venroy-Alpaca-Cardigan-Camel-2698.jpg?v=1656384317,Alpaca Cardigan
Grey ,"The Wool Cashmere Vest in Grey is perfect for any cool-weather wardrobe. Designed to be worn as a layering piece, or on its own, this vest is knitted from warming wool and cashmere, has a deep ribbed V neckline, wide armholes, and finishes at the waist. Wear with everything from denim to relaxed tailoring.Wool cashmere vestV necklineBoxy fitWide rib detailing on V and hemWide arm openingFinishes at the waist70% Wool 30% CashmereGentle dry clean only",https://cdn.shopify.com/s/files/1/2129/8823/products/Venroy-Wool-Cashmere-Vest-Grey-1113.jpg?v=1656384319,Wool Cashmere Vest
Off White ,The Cotton Chino in Off White is back again this season. Cut in a relaxed silhouette from a mid-weight cotton twill they have a straight-leg fit with pleats below the high-rise waist and plently of pockets. Wear them with a tucked sweater or a tank and shirt.Classic chino in a mid-weight cottonButton waistband with fly closureBelt loopsPleated front detailFour functional pocketsStraight leg and hem100% CottonCold machine wash on a delicate cycle,https://cdn.shopify.com/s/files/1/2129/8823/products/Venroy-Alpaca-T-Shirt-Off-White-2454_d8d132a0-d160-44e4-a0ac-69014a400db9.jpg?v=1656384320,Cotton Chino
Black ,"The Cable Knit Funnel Neck Sweater in Black is both equal parts warm and versatile. This cosy sweater is knitted from cotton-cashmere with a high funnel neck, a custom cable pattern, and dropped shoulders that enhance the relaxed shape. Wear with everything from denim to relaxed tailoring.Cable knit funnel neck sweaterRibbed neckRelaxed fitCustom cable patternDropped shoulderSlightly cropped length ends at the waistFitted in the sleeve95% Cotton 5% CashmereCold machine wash on a delicate cycle",https://cdn.shopify.com/s/files/1/2129/8823/products/Venroy-Cable-Knit-Funnel-Neck-Sweater-Black-1499.jpg?v=1656384316,Cable Knit Funnel Neck Sweater
Grey Marl ,"The Unisex Track Zip Sweater is back this season in a Grey Marl hue. This sweatshirt is a sporty style with a relaxed shape, zip neckline, and binding detail on the cuffs and hem. Wear yours to workouts, running errands, or lounging at home with the matching track pants.Zip neck cotton sweaterRelaxed fitTailored high neck with metal zipRibbed cuffs and hemlineHip lengthCut for an oversized fit, please size down for a smaller fit100% CottonCold machine wash on a delicate cycle",https://cdn.shopify.com/s/files/1/2129/8823/products/Venroy-Unisex-Track-Zip-Sweater-Grey-Marl-2-1143.jpg?v=1652073087,Unisex Track Zip Sweater
Black ,"The Woven Cotton Linen Trouser in Black is an everyday pant you&#39;ll be reaching for all winter. Cut for a relaxed fit with a straight leg, these pants are made from a textured cotton linen and have an elasticated waist with a detailed drawcord.Woven cotton linen trousersSlightly textured fabricationRelaxed fitElastic waist with drawstringStraight legSide and back pockets85% Cotton 15% LinenCold machine wash on a delicate cycle",https://cdn.shopify.com/s/files/1/2129/8823/products/Venroy-Woven-Cotton-Linen-Trouser-Black-1923.jpg?v=1656384320,Woven Cotton Linen Trouser
Off White ,"The Cable Knit Funnel Neck Sweater in Off White is both equal parts warm and versatile. This cosy sweater is knitted from cotton-cashmere with a high funnel neck, a custom cable pattern, and dropped shoulders that enhance the relaxed shape. Wear with everything from denim to relaxed tailoring.Cable knit funnel neck sweaterRibbed neckRelaxed fitCustom cable patternDropped shoulderSlightly cropped length ends at the waistFitted in the sleeve95% Cotton 5% CashmereCold machine wash on a delicate cycle",https://cdn.shopify.com/s/files/1/2129/8823/products/Venroy-Cable-Knit-Funnel-Neck-Sweater-Off-White-1376.jpg?v=1656384315,Cable Knit Funnel Neck Sweater
Chestnut/Black ,"The Contrast Fixed Waist Trouser in Chestnut and Black is a tailored trouser that will take you from work straight to dinner. Cut from a wool blend, these two-tone trousers have a straight leg with front pleats and can be worn as a suit, or paired back with a fitted bodysuit.Contrast fixed waist trousersTwo-toned colourwayFront pleatsStraight legRelaxed tailoringSide pocketsFunctional welt back bottom97% Wool 3% EA / 71% Cotton 29% Linen 1% PLGentle dry clean only",https://cdn.shopify.com/s/files/1/2129/8823/products/Venroy-Contrast-Fixed-Waist-Trouser-Chestnut-Black-1780.jpg?v=1656384320,Contrast Fixed Waist Trouser
Black ,"The Silk Slip Skirt in Black is a versatile option that can be dressed up or down. This simple silhouette is cut on the bias for a flattering drape, and is made from a lightweight silk that finishes at a midi length. Wear with everything from a simple tank to knitwear.Silk slip skirtThin elasticated waistbandMidi lengthFluted hemSlip on style100% SilkGentle dry clean only",https://cdn.shopify.com/s/files/1/2129/8823/products/Venroy-Silk-Slip-Skirt-Black-1533.jpg?v=1656384322,Silk Slip Skirt
Black ,The Heavy Poplin Pant in Black is made from heavyweight cotton-poplin with a straight leg silhouette with an elasticated waistband that sits high on your waist. The versatile black hue will go with nearly anything in your wardrobe.High waisted heavyweight cotton-poplin pantsStraight leg fitElastic waistband with drawcordsSide pockets100% Cotton PoplinCold machine wash on a delicate cycle,https://cdn.shopify.com/s/files/1/2129/8823/products/Venroy_Fitted-Rib-Tank-Black_3002_112b841e-e3d1-460b-86ea-5813e4a8772d.jpg?v=1656384235,Heavy Poplin Pant
Plum ,"The Light Cashmere Tank Top in Plum is made from lightweight cashmere and its minimal silhouette ensures you&#39;ll wear it for seasons to come. It&#39;s knitted for a slim fit, with a crew neckline, and a fine ribbed trim. The versatile tank can be worn solo or layered under knitwear and jackets.Lightweight cashmere tank topCrew necklineSlightly fittedRibbed trim on the neckline, armholes, and hemStraight hem100% CashmereGentle dry clean only&nbsp;",https://cdn.shopify.com/s/files/1/2129/8823/products/Venroy-Light-Cashmere-Tank-Plum-2381.jpg?v=1656384314,Light Cashmere Tank
Off White ,"The Alpaca T-Shirt in Off White is a boxy style T-shirt, designed in a versatile hue, and made from an ultra-soft alpaca blend. It has a relaxed fit and ribbed trims. Wear it with everything from relaxed tailoring to denim.Short sleeve alpaca t-shirtHigh round necklineOversized sleevesRelaxed rib cuff and hemBoxy-fit70% Alpaca Wool, 27% Nylon and 3% LycraGentle dry clean only",https://cdn.shopify.com/s/files/1/2129/8823/products/Venroy-Alpaca-T-Shirt-Off-White-2481.jpg?v=1656384314,Alpaca T Shirt
Sage/Crochet Tape ,"The Tencel Lounge Chino in Sage is cut from smooth and durable Tencel in a slim-straight leg. Finished with a comfortable elasticated waistband, decorative back pockets, and a tonal crochet stripe down the side leg.Lightweight Tencel lounge chinoStraight leg fitCustom crochet tape down the side legElasticated waistband with faux flySide seam and back pockets with button detail85% Tencel and 15% LinenCold machine wash on a delicate cycle",https://cdn.shopify.com/s/files/1/2129/8823/products/Tencel-Lounge-Chino-Sage.jpg?v=1656384316,Tencel Lounge Chino
Off White ,"The Heavy Weight Cotton T-Shirt in Off-White is a worn and loved Venroy staple. Made from heavyweight cotton that is thick for structure, it has a boxy silhouette with a classic crew neckline. Tuck it into your favorite linen pants or denim jeans.Heavyweight cotton t-shirtBoxy relaxed fitWide rib collar100% CottonCold machine wash on a delicate cycle",https://cdn.shopify.com/s/files/1/2129/8823/products/Venroy-Heavy-Weight-Cotton-T-Shirt-Off-White-0844.jpg?v=1656384189,Heavy Weight Cotton T-Shirt
Navy ,The Long Sleeve Basket Weave Cotton Polo in Navy is a winter essential and knitted this season in a textured basket weave pattern. It&#39;s cut from heavy cotton with a traditional polo collar and fits like a relaxed jumper. With denim or relaxed tailoring.Long sleeve basket weave cotton poloHeavyweight cottonTextured basket weave patternPolo detailsJumper styleOversized style95% Cotton and 5% CashmereCold machine wash on a delicate cycle,https://cdn.shopify.com/s/files/1/2129/8823/products/Long-Sleeve-Basket-Weave-Cotton-Polo-Navy.jpg?v=1656384313,Long Sleeve Basket Weave Cotton Polo
Off White/Olive ,"The Cotton Twill Trouser is new this season, however, it&#39;s cut in the same style you love. Tailored in Japanese cotton twill, it has a contrasting olive waistband with belt loops and a hook and bar closure with a zipper fly. Wear with knitwear.Heavy-weight cotton twill trouserRelaxed fitContrast detail on the waistband and side pocketsBelt loopsHook and bar closure with zipper fly100% CottonCold machine wash on a delicate cycle",https://cdn.shopify.com/s/files/1/2129/8823/products/Cotton-Twill-Trouser-Off-White-Olive.jpg?v=1656384315,Cotton Twill Trouser
Summer Olive ,"The Tencel Side Tab Trouser in Summer Olive is a slightly sharper version of this style, cut in a straight leg fit from sustainable Tencel. With the same adjustable tabs on the side waist so you can perfect the fit of the waistband.Tencel side tab linen trousersStraight leg fitFixed waist with steel side tab bucklesReinforced button-up waist and wear-resistant gussetFunctioning zip fly100% TencelCold machine wash on a delicate cycle",https://cdn.shopify.com/s/files/1/2129/8823/products/Tencel-Side-Tab-Trouser-Summer-Olive.1.jpg?v=1656384315,Tencel Side Tab Trouser
Olive ,"The Linen Raglan Sweater in Olive is a knitted long sleeve made from breathable linen, making it ideal for transitional weather. This wardrobe essential is cut from lightweight linen for a comfortable fit with a classic crew neckline and raglan sleeves. Teamed with denim or track shorts.Lightweight linen sweaterRelaxed fitRaglan sleeve construction with contrasting stripeExposed stitching detailingStraight edge cuffs and hem100% LinenCold machine wash on a delicate cycle",https://cdn.shopify.com/s/files/1/2129/8823/products/Linen-Raglan-Sweater-Olive.jpg?v=1656384311,Linen Raglan Sweater
Black ,The Long Sleeve Linen T-Shirt in Black is an essential layer piece that works across any season. Longer sleeves to beat the chill whilst staying lightweight to layer under jackets. Wear with everything from lounge pants to track shorts.Long sleeve linen t-shirtRound crew necklineRelaxed silhouette100% LinenCold machine wash on a delicate cycle,https://cdn.shopify.com/s/files/1/2129/8823/products/Long-Sleeve-Linen-T-Shirt-Black.jpg?v=1656384315,Long Sleeve Linen T-Shirt
Taupe/Blue ,"The Knitted Contrast Stripe Pant in Taupe and Blue are ideal for days you need a little extra comfort. Knitted from soft cotton, these track pant style pants have a ribbed elasticated waistband, a contrast stripe down the side, and side pockets to keep your hands warm.Knitted contrast stripe pantTrackpant jogger styleRibbed elasticated waistband with drawcordsContrast stripe down the sideSide pocketsRibbed hem100% High Twist CottonCold machine wash on a delicate cycle",https://cdn.shopify.com/s/files/1/2129/8823/products/Knitted-Contrast-Stripe-Pant-Taupe-Blue.jpg?v=1656384312,Knitted Contrast Stripe Pant
Off White ,"The Oversized Denim Shirt in Off White is a laid back shirt designed for a relaxed fit so that you can leave it open and layered or wear on it&#39;s own. Cut from denim in a versatile off white wash, it has a button up front and billowy sleeves. Style it with the matching jeans.Oversized denim shirtRelaxed fitDropped shoulderFront placket with buttonsBillowy sleeve into the cuffsBack yoke panelRounded hem100% CottonCold machine wash on a delicate cycle",https://cdn.shopify.com/s/files/1/2129/8823/products/Venroy-Oversized-Denim-Shirt-Off-White-2499.jpg?v=1656384321,Oversized Denim Shirt
Milk ,"The Silk Slip Skirt in Milk is a versatile option that can be dressed up or down. This simple silhouette is cut on the bias for a flattering drape, and is made from a lightweight silk that finishes at a midi length. Wear with everything from a simple tank to knitwear.Silk slip skirtThin elasticated waistbandMidi lengthFluted hemSlip on style100% SilkGentle dry clean only",https://cdn.shopify.com/s/files/1/2129/8823/products/Venroy-Alpaca-Cardigan-Camel-2679_de02e235-61d1-4e35-90d2-36f4612480d7.jpg?v=1656384321,Silk Slip Skirt
Light Blue ,"The Denim Jacket in Light Blue is a jacket that goes with everything. Cut from a vintage washed cotton, this slightly paired back version of a denim jacket has traditional finishes, a zipper front closure, and plenty of pockets to keep all your essentials.Relaxed cotton denim jacketStatement large collarVintage light blue denim washBig oversized chest pocketTwo discrete side seam pocketsEcru zipper closureCut from selvedge denimSlight distressingTabacco topstitching100% CottonCold machine wash on a delicate cycle",https://cdn.shopify.com/s/files/1/2129/8823/products/Denim-Jacket-Light-Blue.jpg?v=1656384315,Denim Jacket
Light Blue ,"The Denim Jean is a classic tapered-leg cut made from cotton denim in a vintage, slightly distressed light blue wash. With all the traditional denim finishes, this everyday jean can be worn with just about everything.Classic cut denim jeans5 pocketsSlightly cropped tapered legVintage slightly distressed light blue washCut from selvedge denimBranded jean button closure and zipJacron patch on back waist. Jacron is a cruelty-free material that is durability and water-resistanceTabacco topstitchingBelt loops100% CottonCold machine wash on a delicate cycle",https://cdn.shopify.com/s/files/1/2129/8823/products/Denim-Jean-Light-Blue.jpg?v=1656384316,Denim Jean
Navy ,"The Signature Winter Shirt in Navy is an easy, everyday shirt that will become a winter favorite. Cut from a mid-weight Tencel-linen blend, it&#39;s tailored with a classic collar, relaxed fit, and finished with lustrous mother-of-pearl buttons. Team it with everything from lounge pants to wool trousers.Signature winter Tencel-linen blend shirtMid-weightClassic button-down collarMother of pearl buttonsCoordinates label at front hem85% Tencel 15% LinenCold machine wash on a delicate cycle",https://cdn.shopify.com/s/files/1/2129/8823/products/Signature-Winter-Shirt-Navy.jpg?v=1652071873,Winter Shirt
Black ,"The Long Sleeve Silk Camp Collar Shirt in Black is tailored from a lightweight silk and cut for a slightly relaxed fit with a classic camp collar, front patch pocket, and finished with pearl shell buttons.Long sleeve silk printed shirtClassic camp collarFront chest pocketComfortable relaxed fitPearl shell button fastening and cuffs100% SilkGentle dry clean only",https://cdn.shopify.com/s/files/1/2129/8823/products/Winter-Shirt-Black.jpg?v=1656384081,Long Sleeve Silk Camp Collar Shirt
Milk/Blue ,"The Knitted Contrast Stripe T-Shirt in Milk and Blue is an update from your average t-shirt and has been knitted from a milky hue cotton. It has an oversized fit, with a classic crew neckline and a contrast stripe down the sleeves.Lightweight knitted contrast stripe t-shirtOversized fitCrew necklineContrast sleeve stripeRibbed collar and hemline100% High Twist CottonCold machine wash on a delicate cycle",https://cdn.shopify.com/s/files/1/2129/8823/products/Knitted-Contrast-Stripe-T-Shirt-Milk-Blue.jpg?v=1656384312,Knitted Contrast Stripe T Shirt
White ,"The Linen Shirt is an essential Venroy piece, it's what we are known for. Cut from breathable White linen, it's tailored with a classic collar, relaxed comfortable fit, and finished with lustrous mother-of-pearl buttons. Team it with everything from lounge pants to swim shorts.Lightweight linen shirtComfortable relaxed fitClassic collarPearl shell button fastening and cuffs100% LinenCold machine wash on a delicate cycle",https://cdn.shopify.com/s/files/1/2129/8823/products/Venroy_5.jpg?v=1654823158,Linen Shirt
Black ,"The Short Sleeve Pointelle Shirt has been knitted from soft and slightly sheer black cotton, so it&#39;s lightweight and comfortable. Designed to wear during the high heat of summer, this shirt has a classic camp collar, relaxed fit, and patterned in a zig-zag knit.Short sleeve knitted high twist cotton shirtClassic camp collarLightweight pointelle knit front with a zig-zag patternComfortable relaxed fitPearl shell button fastening100% CottonCold machine wash on a delicate cycle",https://cdn.shopify.com/s/files/1/2129/8823/products/Venroy-Mens-SS-Pointelle-Knitted-Shirt-Black.jpg?v=1646188319,Short Sleeve Pointelle Knitted Shirt
Taupe ,"The Linen Raglan Sweater in Taupe is a knitted long sleeve made from breathable linen, making it ideal for transitional weather. This wardrobe essential is cut from lightweight linen for a comfortable fit with a classic crew neckline and raglan sleeves. Teamed with denim or track shorts.Lightweight linen sweaterRelaxed fitRaglan sleeve construction with contrasting stripeExposed stitching detailingStraight edge cuffs and hem100% LinenCold machine wash on a delicate cycle",https://cdn.shopify.com/s/files/1/2129/8823/products/Linen-Raglan-Sweater-Taupe.jpg?v=1656384167,Linen Raglan Sweater
Black ,"The Heavyweight T-Shirt in Black is a Venroy staple every wardrobe needs. Made from heavyweight cotton that will hold its shape, this t-shirt has a relaxed boxy fit and a classic crew neckline. Wear yours with track shorts to tailored linen pants.Heavyweight cotton t-shirtSlight box shape fitCrew neckline with rib collar100% CottonCold machine wash on a delicate cycle",https://cdn.shopify.com/s/files/1/2129/8823/products/Venroy_27.jpg?v=1653789992,Heavy Weight T-Shirt
Navy ,"The Linen Shirt is an essential Venroy piece, it's what we are known for. Cut from breathable Navy linen, it's tailored with a classic collar, relaxed comfortable fit, and finished with lustrous mother-of-pearl buttons. Team it with everything from lounge pants to swim shorts.Lightweight linen shirtComfortable relaxed fitClassic collarPearl shell button fastening and cuffs100% LinenCold machine wash on a delicate cycle",https://cdn.shopify.com/s/files/1/2129/8823/products/Venroy_4.jpg?v=1654823043,Linen Shirt
Off White ,"The Woven Terry Pop Over Shirt in White is a practical piece for any holiday suitcase. Cut for a relaxed fit from cotton terry toweling, this shirt has an open collar and slightly longer sleeves. Works with everything from swim shorts to linen chinos.Cotton terry towel pullover shirtRelaxed fitOpen neckMid-length sleevesStitch detail down front yokeSide splits at hem100% CottonCold machine wash on a delicate cycle",https://cdn.shopify.com/s/files/1/2129/8823/products/Venroy-Mens-Woven-Terry-Pop-Over-Off-White.jpg?v=1646188166,Woven Terry Pop Over
Navy/White Stripe ,"The Long Sleeve Woven Stripe Polo was designed with the intention to throw on after an ocean swim. Cut for a soft cotton-linen blend, this relaxed polo has long sleeves, two front patch pockets and is printed in a custom stripe. Wear as a set with the matching robe and shorts.Long sleeve open neck poloCustom woven stripeRelaxed fitOpen neckPatch front pocketsButtons on cuffsStitch detail down front yoke81% Cotton and 19% LinenCold machine wash on a delicate cycle",https://cdn.shopify.com/s/files/1/2129/8823/products/Venroy-Mens-LS-Woven-Stripe-Open-Neck-Polo-Navy-White-Stripe.jpg?v=1646188167,Long Sleeve Woven Stripe Open Neck Polo
Putty ,"The Nylon Hemmed Terry Shirt in Putty is trimmed in a contrasting stripe hem, inspired by rows of umbrellas found on a Positano beach. It&#39;s cut from a cotton-poly blend for a relaxed fit and has a traditional camp collar and front patch pockets. Leave it worn open or with the matching shorts.Relaxed terry towel cotton-blend shirtShort sleevesContrast stripe nylon detail on sleeves and hemFront patch pocketScooped hem80% Cotton and 20% PolyesterContrast: 100% NylonCold machine wash on a delicate cycle",https://cdn.shopify.com/s/files/1/2129/8823/products/Venroy-Mens-Nylon-Hemmed-Terry-Shirt-Putty.jpg?v=1652072249,Nylon Hemmed Terry Shirt
Turquoise Olive Geo Print ,"The Printed Camp Collar Shirt is made from light silk and pattered in the Geo print in hues of turquoise, olive, blue and white. Cut for a relaxed fit with a classic camp-collar, front chest pocket, and finished with our signature pearl buttons.Short-sleeve silk printed shirtCustom Amalfi stripe printClassic camp collarFront chest pocketComfortable relaxed fitPearl shell button fastening100% SilkGentle dry clean only",https://cdn.shopify.com/s/files/1/2129/8823/products/Venroy-Mens-SS-Silk-Printed-Camp-Collar-Shirt-Turquoise-Olive-Geo-Print.jpg?v=1646188100,Short Sleeve Silk Printed Camp Collar Shirt
Black ,"The Linen Shirt is an essential Venroy piece, it's what we are known for. Cut from breathable Black linen, it's tailored with a classic collar, relaxed comfortable fit, and finished with lustrous mother-of-pearl buttons. Team it with everything from lounge pants to swim shorts.Lightweight linen shirtComfortable relaxed fitClassic collarPearl shell button fastening and cuffs100% LinenCold machine wash on a delicate cycle",https://cdn.shopify.com/s/files/1/2129/8823/products/Signature-Shirt_Black_Mens.jpg?v=1654743319,Linen Shirt
Light Blue ,"The Linen Shirt is an essential Venroy piece, it's what we are known for. Cut from breathable Pale Blue linen, it's tailored with a classic collar, relaxed comfortable fit, and finished with lustrous mother-of-pearl buttons. Team it with everything from lounge pants to swim shorts.Lightweight linen shirtComfortable relaxed fitClassic collarPearl shell button fastening and cuffs100% LinenCold machine wash on a delicate cycle",https://cdn.shopify.com/s/files/1/2129/8823/products/Venroy-Mens-SignatureLinenShirt-PaleBlue.jpg?v=1654823016,Linen Shirt
V Monogram Print ,"The Long Sleeve Printed Shirt has been made from light silk and patterned with the signature V monogram print. Cut for a relaxed fit with a classic camp collar, front patch pocket, and finished with pearl shell buttons.Long sleeve silk printed shirtCustom V monogram printClassic camp collarFront chest pocketComfortable relaxed fitPearl shell button fastening and cuffs100% SilkGentle dry clean only",https://cdn.shopify.com/s/files/1/2129/8823/products/Venroy-Mens-LS-Silk-Printed-Camp-Collar-Shirt-V-Monogram-Print.jpg?v=1646188099,Long Sleeve Silk Printed Camp Collar Shirt
Navy ,"The Poplin Tailored Shirt in Navy is a tailored shirt, designed to take you from drinks at the bar to dinner. Made from a cotton-poplin, this shirt has a tailored collar with collar picks for structure and is cut in a comfortable relaxed fit. Wear with casual suiting.Tailored cotton-poplin shirtComfortable relaxed fitTailored collar with collar picks for structurePearl shell button fastening and cuffs100% Cotton PoplinCold machine wash on a delicate cycle",https://cdn.shopify.com/s/files/1/2129/8823/products/Venroy-Mens-PoplinTailoredShirt-Navy.jpg?v=1646188122,Poplin Tailored Shirt
Dark Green ,"The Cotton Voile Shirt in Dark Green is a casual, lightweight shirt that makes getting dressed on warmer days easy. Cut from a cotton-poplin blend, this shirt has all the classic features and is finished with lustrous mother-of-pearl buttons.Linen lightweight cotton-voile shirtComfortable relaxed fitClassic collarFront chest pocketPearl shell button fastening and cuffs100% Cotton PoplinCold machine wash on a delicate cycle",https://cdn.shopify.com/s/files/1/2129/8823/products/Venroy-Mens-SignatureCottonVoileShirt-DarkGreen.jpg?v=1646188127,Cotton Voile Shirt
Navy ,"The Front Pocket Shirt is a classic, relaxed, and easy-to-wear short sleeve shirt. Cut from mid-weight cotton, it has a collar and a button-up front, two front welt pockets, and finished with side slits at the hem making it a comfortable choice on warmer days.Mid-weight cotton short sleeve shirtClassic collar and button up frontComfortable relaxed fitTwo welt chest pocketsPearl shell button fastening and cuffsSide slits at hem100% CottonCold machine wash on a delicate cycle",https://cdn.shopify.com/s/files/1/2129/8823/products/Venroy-Mens-Front-Pocket-Shirt-Navy.jpg?v=1646188097,Short Sleeve Front Pocket Shirt
Taupe Woven Stripe ,"The Woven Stripe Shirt is an essential Venroy piece. <span data-mce-fragment=""1"">Cut from a breathable cotton-linen&nbsp;in a new season white and green woven stripe, it's tailored with a classic collar, relaxed comfortable fit, and finished with lustrous mother-of-pearl buttons. Team it with everything from lounge pants to swim shorts.Linen lightweight cotton-linen shirtCustom woven stripeComfortable relaxed fitClassic collarPearl shell button fastening and cuffs60% Cotton and 40% LinenCold machine wash on a delicate cycle",https://cdn.shopify.com/s/files/1/2129/8823/products/Venroy-Mens-Signature-Woven-Stripe-Shirt-Green-Woven-Stripe.jpg?v=1646188095,Woven Stripe Shirt
Black and White Woven Stripe ,"The Stripe Boardshort is a simple and practical mid-length swim short, that can take you from the ocean to brunch. Printed in a black and white woven stripe, these shorts have an elasticated waistband and drawcord for comfort, side pockets, and a handy back pocket with a zipper closure to keep your key secured.Swim boardshortsCustom black and white woven stripeMid-thigh lengthElasticated waistband with drawcordsSide pocketsBack welt pocket with zipper and embroidered logo100% PolyesterCold machine wash on a delicate cycle",https://cdn.shopify.com/s/files/1/2129/8823/products/Venroy-Mens-Striped-Boardshort-Black-White-Woven-Stripe.jpg?v=1646188472,Striped Boardshort
Sage/Side Tape ,"The Piped Solid Swim Short in Sage is cut from quick-drying recycled polyester, a comfortable elasticated waistband with drawcord, and finished with a contrast piping trim along the side.Solid swim shortMid-thigh lengthElasticated waistband with drawcordsRecycled polyester piping trim along the side seamSide pocketsBack welt pocket with zipper and embroidered logoMade from 100% Recycled PolyesterCold machine wash",https://cdn.shopify.com/s/files/1/2129/8823/products/Solid-Swim-Short-Sage-Side-Tape.jpg?v=1656384330,Solid Swim Short
Navy ,"The Solid Stretch Swim Short in Navy is a swim classic whether you are heading for a swim in the ocean or lounging by the pool. Cut from a quick-dry recycled poly-blend, these short has an elasticated waist, mesh lining for comfort and practical pockets at the side and back.Solid stretch swim shortElasticated waist with drawcordsMid-thigh lengthMesh liningSide pocketsBack welt pocket with zipper and embroidered logo97% Recycled Polyester and 3% SpandexCold machine wash",https://cdn.shopify.com/s/files/1/2129/8823/products/Venroy-Mens-Solid-Stretch-Swim-Short-Navy.jpg?v=1646188472,Solid Stretch Swim Short
Black ,The Cotton Stretch Pant in Black is made from lightweight cotton with a touch of spandex for an easy-to-wear relaxed fit and feel. They have slim straight legs and an elasticated waistband.Lightweight cotton stretch pantsStraight leg fitElasticated waistband with drawcordsSide seam and back pockets98% Cotton and 2% SpandexCold machine wash on a delicate cycle,https://cdn.shopify.com/s/files/1/2129/8823/products/Venroy-Mens-Cotton-Stretch-Pant-Black.jpg?v=1654133172,Cotton Stretch Pant
